epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.339,1.53401,1.99552,1.25281,0.63092,0.64077,0.64159,0.36902,1.40867,1.37757,1.25157,0.000370085,0.000370085,0.000370085
2,666.858,1.38789,1.31966,1.17596,0.68633,0.64063,0.69305,0.41703,1.34064,1.16836,1.21254,0.000725758,0.000725758,0.000725758
3,886.02,1.34766,1.18057,1.16049,0.76044,0.6128,0.70773,0.42428,1.31695,1.10516,1.21335,0.00106677,0.00106677,0.00106677
4,1101.01,1.29535,1.0931,1.13865,0.78381,0.70513,0.76998,0.45306,1.32803,1.00933,1.22829,0.00104501,0.00104501,0.00104501
5,1309.86,1.27007,1.03723,1.12504,0.76439,0.72227,0.77038,0.46849,1.27456,0.98375,1.18612,0.00102301,0.00102301,0.00102301
6,1516.58,1.23542,0.98355,1.11159,0.80644,0.74461,0.81693,0.5138,1.2273,0.89292,1.15359,0.00100101,0.00100101,0.00100101
7,1721.05,1.20751,0.94165,1.0955,0.79266,0.75882,0.81379,0.51221,1.19328,0.88575,1.1389,0.000979013,0.000979013,0.000979013
8,1923.15,1.18273,0.9178,1.0854,0.81512,0.75011,0.81357,0.50803,1.1947,0.85537,1.13334,0.000957015,0.000957015,0.000957015
9,2118.63,1.17082,0.89352,1.08031,0.809,0.78891,0.83455,0.5439,1.16709,0.84284,1.12092,0.000935018,0.000935018,0.000935018
10,2314.8,1.14959,0.8925,1.07195,0.80743,0.78045,0.82402,0.53727,1.14962,0.81467,1.10534,0.00091302,0.00091302,0.00091302
11,2509.68,1.14147,0.85951,1.0658,0.84453,0.79305,0.8567,0.5631,1.1334,0.77041,1.09919,0.000891022,0.000891022,0.000891022
12,2704.56,1.13173,0.84726,1.06506,0.84077,0.74357,0.84999,0.55688,1.12722,0.80179,1.09339,0.000869024,0.000869024,0.000869024
13,2898.7,1.10711,0.81702,1.05132,0.83586,0.79379,0.853,0.57702,1.09945,0.7364,1.09168,0.000847026,0.000847026,0.000847026
14,3094.54,1.09755,0.80131,1.04796,0.81753,0.81247,0.84731,0.55285,1.11828,0.7422,1.10207,0.000825029,0.000825029,0.000825029
